Poet name,Poem name,Poem
نبیل احمد نبیل,ایسی الجھن ہو کبھی ایسی بھی رسوائی ہو,"ایسی الجھن ہو کبھی ایسی بھی رسوائی ہو
دل کے ہر زخم میں دریاؤں کی گہرائی ہو
عشق میں ایسے کسی کی بھی نہ رسوائی ہو
ہر قدم پاؤں میں زنجیر نظر آئی ہو
اس طرح یاد تری دل میں چلی آئی ہو
جس طرح کوئی کلی شاخ پہ مسکائی ہو
یوں گزرتے ہیں ترے ہجر میں دن رات مرے
جان پہ جیسے کسی شخص کے بن آئی ہو
دید سے پیاس بجھے چشم تمنا کی کبھی
حسن زیبا سے دل زار کی زیبائی ہو
تو قریب آیا تو ایسا مجھے محسوس ہوا
تیری خوشبو مری سانسوں میں سمٹ آئی ہو
ایسے بوجھل ہیں ترے بعد محبت کے قدم
جیسے لڑکی کسی دیہات کی گھبرائی ہو
ایک عرصہ ہوا منظر نہیں دیکھا کوئی
حسن زیبا سے مری آنکھ میں رعنائی ہو
مل بھی سکتا ہے ہمیں منزل ہستی کا سراغ
وقت نے پاؤں میں زنجیر نہ پہنائی ہو
اس طرح دیکھتا ہے مجھ کو وہ اک شخص یہاں
جس طرح ایک زمانے کی شناسائی ہو
راستے ایسے چمک اٹھتے ہیں رفتہ رفتہ
منتظر جیسے نظر راہ میں پھیلائی ہو
کاش ایسا بھی کوئی لمحہ میسر آ جائے
عشق کی بات بنے غم کی پذیرائی ہو
ایسے سینے میں پریشان ہے دل کا ہونا
ہر طرف دھول ہو ہر اور میں تنہائی ہو
دل بھی جلتا ہو جدائی میں شرارے کی طرح
گیلی لکڑی کی طرح جان بھی سلگائی ہو
گلشن زیست میں رقصاں ہو بہاروں کا سماں
تیرے آنچل سے ہر اک شاخ ہی رنگوائی ہو
حسن کو عشق کے آ جائیں جو آداب کبھی
آنکھ شیدائی نہ ہو دل نہ تمنائی ہو
عرصۂ زیست میں ایسا نہ کوئی لمحہ ملا
کسی ساعت نے کلی پیار کی مہکائی ہو
دائرے ایسے بناتی ہے یہاں قوس قزح
ہو بہ ہو جیسے کسی شوخ کی انگڑائی ہو
زندگی ایسے کٹی طعنہ و دشنام کے ساتھ
میرا ہونا بھی مرے غم کا شناسائی ہو
چین آتا ہے تمنا کو نہ ارماں کو سکوں
جب محبت کی کلی خوف سے مرجھائی ہو
بیچ کے خود کو بھی خوشیاں نہ خریدی جائیں
تیری دنیا میں نہ ایسی کبھی مہنگائی ہو
مجھ کو گل رنگ بہاروں سے یہی لگتا ہے
جیسے پروا تری خوشبو کو لیے آئی ہو
دیکھ کر رنگ بہاروں کے مجھے لگتا ہے
جیسے چنری کسی دوشیزہ نے پھیلائی ہو
پھول کی طرح سبھی داغ مہکنے لگ جائیں
کاش ایسا بھی کہیں طرز مسیحائی ہو
کیسا منظر ہو کہ سر پھوڑتے دیوانوں کے
سنگ ہو ہاتھ میں اور سامنے ہرجائی ہو
ہے مزاج اپنا الگ اپنی طبیعت ہے جدا
کیسے اس دور کے لوگوں سے شناسائی ہو
وہ سخن ور جو سخن ور ہیں حقیقی صاحب
ایسے لوگوں کا کبھی جشن پذیرائی ہو
زخم اس شوخ نے اس بار لگایا وہ نبیلؔ
جیسے بپھرے ہوئے دریاؤں کی گہرائی ہو
چائے کا کپ ہو نبیلؔ اور کسی کی یادیں
رات کا پچھلا پہر عالم تنہائی ہو
ایسی حالت میں نظر آیا ہے وہ آج نبیلؔ
جیسے شعروں میں کوئی قافیہ پیمائی ہو"
نبیل احمد نبیل,تیری تلاش تیری تمنا تو میں بھی ہوں,"تیری تلاش تیری تمنا تو میں بھی ہوں
جیسا ترا خیال ہے ویسا تو میں بھی ہوں
تعمیر جیسی چاہئے ویسی نہ ہو سکی
بنیاد اپنی روز اٹھاتا تو میں بھی ہوں
بوسیدہ چھال پیڑ سے لپٹی ہے گر تو کیا
اچھے دنوں کی آس پہ زندہ تو میں بھی ہوں
اے زندگی مجھے تو خبر تک نہ ہو سکی
ہر چند اپنے غم کا مداوا تو میں بھی ہوں
محرومیٔ حیات کا مجھ کو بھی غم تو ہے
محرومیٔ حیات پہ روتا تو میں بھی ہوں
شاید نکل ہی آئے یہاں کوئی راستہ
اس شہر بے لحاظ میں ٹھہرا تو میں بھی ہوں
اے زندگی تو کس لیے مایوس مجھ سے ہے
تیری توقعات پہ پورا تو میں بھی ہوں
نوک قلم پہ صورت اظہار یہ بھی ہے
تجھ کو غزل کے روپ میں لکھتا تو میں بھی ہوں
اے زندگی تو تھامتی میرے وجود کو
تیرے لیے جہان میں بھٹکا تو میں بھی ہوں
اے کاش جان لے تو مرے دل کی داستاں
تم ہو تو زندگی کا تقاضا تو میں بھی ہوں
مجھ میں جو اضطراب ہے میرے سبب سے ہے
مجھ سے نہ کچھ کہو کہ سمجھتا تو میں بھی ہوں
یہ کیا کہ خواہشوں کا سفر ختم ہی نہ ہو
یہ کیا کہ ایک موڑ پہ ٹھہرا تو میں بھی ہوں
یہ کیا کہ ایک طور سے گزرے گی زندگی
یہ کیا کہ ایک راہ پہ چلتا تو میں بھی ہوں
رکھتا نہیں ہوں دل میں ہواؤں کا کچھ بھی خوف
راہوں میں تیری دیپ جلاتا تو میں بھی ہوں
تم آئے اور سمیٹ کے دنیا نکل گئے
اس عمر کے سراب میں بھٹکا تو میں بھی ہوں
میں بھی دکھوں سے ماورا کب ہوں جہان میں
بار غم حیات اٹھاتا تو میں بھی ہوں
میں بھی بھٹک رہا ہوں زمانے کے ساتھ ساتھ
اندھا اگر جہان ہے اندھا تو میں بھی ہوں
تیرے بیان میں ہے نہ میرے بیان میں
اس زندگی کو دیکھ دکھاتا تو میں بھی ہوں
کچھ روشنی کی آس ہے مجھ کو بھی اے نبیلؔ
آنکھوں کے دیپ روز جلاتا تو میں بھی ہوں
ہنستی ہے مجھ پہ دنیا تو ہنستی رہے نبیلؔ
اس کے معاملات پہ ہنستا تو میں بھی ہوں
رک سے گئے نبیلؔ یہ کس کے خیال میں
تو دیکھ غور سے مجھے رکتا تو میں بھی ہوں"
نبیل احمد نبیل,تنکے کا ہاتھ آیا سہارا غلط غلط,"تنکے کا ہاتھ آیا سہارا غلط غلط
موج طلب نے پایا کنارا غلط غلط
سیل بلا میں ڈوب رہا تھا میں جس گھڑی
دنیا کے ساتھ اس نے پکارا غلط غلط
ہم لوگ جی رہے ہیں ترے شہر میں ابھی
کیجے نہ اندراج ہمارا غلط غلط
چلتا ہے دشمنوں کی طرح میرے ساتھ جو
اس نے کیا ہے مجھ کو گوارا غلط غلط
کوئی بھی چیز رہنی نہیں تا ابد یہاں
نقشہ ہے اس جہان کا سارا غلط غلط
شاخ طلب کو پانی دیا ہے لہو نہیں
ہم نے ہر ایک گل کو نکھارا غلط غلط
راتوں کا اضطراب نہیں یوں بھی جا سکا
ابھرا ہے ظلمتوں میں ستارہ غلط غلط
اک اک ورق میں خوف کا مضمون ہے میاں
ہے زیست کا ہر ایک شمارہ غلط غلط
دھوکا دیا ہے آئنے کو اس نے اس طرح
زلفوں کو اس نے رخ پہ سنوارا غلط غلط
الزام دے کے دانۂ گندم کا اے نبیلؔ
اس نے مجھے زمیں پہ اتارا غلط غلط"
نبیل احمد نبیل,کس طرح بنائیں ہم اپنا یہ مکاں یارو ریت اس نگر کی ہے اینٹ اس نگر کی ہے,"کس طرح بنائیں ہم اپنا یہ مکاں یارو ریت اس نگر کی ہے اینٹ اس نگر کی ہے
جوڑتے انہیں کیسے اور پھر کہاں یارو ریت اس نگر کی ہے اینٹ اس نگر کی ہے
ایک حسرت تعمیر دل میں جو ذرا سی تھی ڈر تھا جاگ اٹھے گی اور جاگ اٹھی ہے
کان کھول کر سن لو تم مرا بیاں یارو ریت اس نگر کی ہے اینٹ اس نگر کی ہے
یہ تو جانتے سب ہیں ہم بھی سوچتے اب ہیں جس نگر میں رہتے تھے اس نگر میں رہتے ہیں
ایک ہے زمیں اپنی ایک آسماں یارو ریت اس نگر کی ہے اینٹ اس نگر کی ہے
گھر نہیں اگر اپنا گھر میں جا تو سکتے ہیں در نہیں اگر اپنا در تو کھول سکتے ہیں
آ کے کہہ گیا ہم کو کون درمیاں یارو ریت اس نگر کی ہے اینٹ اس نگر کی ہے
اس مقدمے پر بھی اک مقدمہ ہوگا زور و شور سے ہوگا اور آج ہی ہوگا
کھول کر اگر دیکھیں ان کی ہم دکاں یارو ریت اس نگر کی ہے اینٹ اس نگر کی ہے
کیا سبق پڑھاتے ہیں شہر کو دیانت کا آ گیا ہے جب اس پر فیصلہ عدالت کا
آپ کیوں پکڑتے ہیں ان کی چوریاں یارو ریت اس نگر کی ہے اینٹ اس نگر کی ہے
روز میں بکھرتا ہوں روز ہی بکھرتا ہے میرے گھر کا شیرازہ تم کرو جو اندازہ
کیا سنا گیا کوئی گھر کی داستاں یارو ریت اس نگر کی ہے اینٹ اس نگر کی ہے
گھرکیوں کے گاؤں سے ریت اٹھا کے لائے تھے اینٹ شہر سے لی تھی یہ نہ تھا مگر معلوم
جھیلنا پڑیں گی پھر گھر کی گھرکیاں یارو ریت اس نگر کی ہے اینٹ اس نگر کی ہے
اینٹ لے گیا کوئی ریت لے گیا کوئی مجھ کو زندگی بھر کا روگ دے گیا کوئی
روز کہتا پھرتا ہوں میں یہاں وہاں یارو ریت اس نگر کی ہے اینٹ اس نگر کی ہے
اینٹ ریت سے ہم نے اک مکاں بنایا تھا ہم نے ہاں بنایا تھا پر کہاں بنایا تھا
گو کہ جانتے ہیں ہم زیر آسماں یارو ریت اس نگر کی ہے اینٹ اس نگر کی ہے
نون میم راشدؔ سے ہم نبیلؔ پوچھیں گے زندگی تو تم بھی ہو زندگی تو ہم بھی ہیں
کس طرح بنائیں ہم نظم کا جہاں یارو ریت اس نگر کی ہے اینٹ اس نگر کی ہے"
نبیل احمد نبیل,جلن کے خوف سے باہر نکل سکو تو چلو,"جلن کے خوف سے باہر نکل سکو تو چلو
بچھی ہے دھوپ ہی رستوں میں چل سکو تو چلو
یہی تقاضا ہے اس بار بھی محبت کا
بدن پہ گرد سفر کو جو مل سکو تو چلو
جلا کے ذلت شب میں ہتھیلیوں پہ چراغ
ہوا کے رخ کو اگرچہ بدل سکو تو چلو
ملا ہے اذن مسافت کڑے اندھیروں میں
کسی چراغ کی لو میں جو ڈھل سکو تو چلو
خیال رکھنا اجل آخری پڑاؤ نہیں
عذاب عمر سے باہر نکل سکو تو چلو
بہت ہی ٹیڑھا ہے اے دوست عشق کا رستہ
بغیر راہنما کے سنبھل سکو تو چلو
اس ایک شرط پہ گلشن میں داخلہ ہوگا
کسی گلاب کے سانچے میں ڈھل سکو تو چلو
ہر ایک گام پہ بکھری ہے راکھ صدیوں کی
نبیلؔ بن کے شرارہ جو جل سکو تو چلو"
نبیل احمد نبیل,چاروں جانب پاگل خانے لگتے ہیں,"چاروں جانب پاگل خانے لگتے ہیں
موسم ایسے ہوش اڑانے لگتے ہیں
ملبہ گرنے لگتا ہے سب کمرے کا
جب تیری تصویر جلانے لگتے ہیں
گھبرا کے اس دور کے وحشی انساں سے
دیواروں کو راز بتانے لگتے ہیں
آنکھ اٹھا کر جب بھی دیکھوں پیڑوں کو
مجھ کو میرے دوست پرانے لگتے ہیں
ذہن میں ماضی جب بھی گھومنے لگتا ہے
آنکھ میں کتنے آنسو آنے لگتے ہیں
دل کے ہاتھوں ہو کے ہم مجبور سدا
ارمانوں کی لاش اٹھانے لگتے ہیں
پتھر جیسی دنیا ہے خود غرضی ہے
اس کو کیوں کر درد سنانے لگتے ہیں
ساتھ مرے وہ مل کر چاند ستارے بھی
ہجر میں تیرے نیر بہانے لگتے ہیں
یار نبیلؔ انہیں میں جتنا بھولتا ہوں
مجھ کو یاد وہ اتنا آنے لگتے ہیں"
عابد جعفری,یہ داغ ہجر نہیں مٹ سکا جبیں کا لگا,"یہ داغ ہجر نہیں مٹ سکا جبیں کا لگا
زمیں کہیں کی ہے پیوند ہے کہیں کا لگا
ملا ہے دشت ہمیں جستجو میں منزل کی
گماں تھا پاؤں میں اور آبلہ یقیں کا لگا
ہمارا نام و نسب ہم سے پوچھنے والے
لہو نہ اس طرح دامن پہ آستیں کا لگا
اٹھا کے دوش پہ خیمے نکل پڑے ہم لوگ
ذرا نہ خوف ہمیں اجنبی زمیں کا لگا"
عابد جعفری,نظر میں ایک بھی چہرہ نہیں چراغوں کا,"نظر میں ایک بھی چہرہ نہیں چراغوں کا
غبار ہے مری آنکھوں میں کن اجالوں کا
چٹان ہے ترا پیکر تو آنکھ نم کیوں ہے
جواب ڈھونڈھتا رہتا ہوں ان سوالوں کا
فضا میں آندھیاں اس زور سے چلی ہیں کہ اب
پرند بھول گئے راستہ اڑانوں کا
ہے آج بھی مرے پہلو میں اک عجیب خلش
یہ اکتساب کرم ہے تمہاری بانہوں کا"
عابد جعفری,اشک امڈیں تو انہیں پلکوں پہ روکا جائے,"اشک امڈیں تو انہیں پلکوں پہ روکا جائے
کیوں یہ پندار وفا صورت گریہ جائے
جب سے دیکھے ہیں تری آنکھوں کے ساگر ہم نے
اک نئی آرزو ابھری ہے کہ ڈوبا جائے
میں سماعت میں سمیٹے ہوں ہزاروں دشنام
ضبط غم کا ہے یہ ارشاد نہ بولا جائے
ہم کو اس خواب محبت سے جگایا کس نے
نقش چہروں پہ عداوت کا نہ دیکھا جائے
زخم خوردہ نہ کہیں انگلیاں وحشت ہو جائیں
بربط دل کو کسی کے نہ یوں چھیڑا جائے
دل ہے مصلوب انا بام پہ سورج بھی نہیں
کس طرح گھر کے اندھیروں کو اجالا جائے
پاؤں جب خار مغیلاں سے ہیں چھلنی عابدؔ
کیوں نہ پھر آتش نمرود میں اترا جائے"
عابد جعفری,دل سے محرومیٔ احساس مٹانے کے لیے,"دل سے محرومیٔ احساس مٹانے کے لیے
گل کھلے ہیں مرے زخموں کو دکھانے کے لیے
پھر سے آواز کے دریا میں مرے نام کی ناؤ
بادبانوں کو اٹھاتی ہے گرانے کے لیے
رات ڈھلتی ہے چلو ڈھونڈ کے جگنو لائیں
وعدۂ انجم و مہتاب نبھانے کے لیے
کچھ پرندے مرے آنگن میں اتر آئے ہیں
بال و پر تیز ہواؤں سے بچانے کے لیے
سر سے سورج تری چاہت کا ڈھلا ہے شاید
مجھ پہ ہر سایۂ دیوار گرانے کے لیے
اپنے جذبوں کو کوئی شکل نہ دینا عابدؔ
ورنہ صورت کو بھی ترسو گے دکھانے کے لیے"
عابد جعفری,فکر رکھتے ہیں کہاں ذہن اگر رکھتے ہیں,"فکر رکھتے ہیں کہاں ذہن اگر رکھتے ہیں
دشت بے آب میں جو تخم ہنر رکھتے ہیں
ہر نئی بات بھلا دیتی ہے پہلے کا خیال
وہ تو اخبار ہیں بس تازہ خبر رکھتے ہیں
مٹ گیا رنگ تعلق تو یہ چہرے کے نقوش
ایک اک خط تأثر میں خبر رکھتے ہیں
ایسے لوگوں کا ملا ہم کو زمانہ جو لوگ
کور بینا ہیں مگر ہم پہ نظر رکھتے ہیں
کوئی آہٹ ہے نہ دستک کہ بچھڑ جائے سکوت
جن کو دیوار میسر ہو وہ در رکھتے ہیں
جب بھی آتی ہے کسی سمت سے مقتل کی ہوا
دھیان آتا ہے ابھی دوش پہ سر رکھتے ہیں"
عابد جعفری,گل صداقت سے مہکتے ہوئے تاثیر میں رکھ,"گل صداقت سے مہکتے ہوئے تاثیر میں رکھ
سانحہ دل پہ جو گزرے وہی تحریر میں رکھ
طاق زنداں میں چراغ غم ہستی نہ جلا
آتش عشق دروں حلقۂ زنجیر میں رکھ
خشت بے فیض جو آراستہ گفتار میں ہے
اس کو بنیاد بنا کر کسی تعمیر میں رکھ
ظلمتوں سے کسی گھر کی نہیں ہوتی پہچان
سنگ و گل ہی نہیں کچھ نور بھی جاگیر میں رکھ
کب تلک دوش پہ خوابوں کے کرے گا پرواز
ہم نشیں عزم سفر وادیٔ تعبیر میں رکھ
دید کی زیست سے تا مرگ طلب آ پہنچی
حیلہ جو اور بہانے تو نہ تاخیر میں رکھ
سروری زور تکلم سے نہ مل پائے گی
ہم نشیں عجز بیاں خوبیٔ تقریر میں رکھ"
عابد جعفری,پہلی سی دل کو خواہش ہجرت نہیں رہی,"پہلی سی دل کو خواہش ہجرت نہیں رہی
کیا اے زمیں ہماری ضرورت نہیں رہی
آنگن میں ساری رات برستی رہی گھٹا
دیوار گھر کی کوئی سلامت نہیں رہی
یوں ہی نہیں ارادۂ پہلو تہی کہ اب
ان سے نباہ کرنے کی صورت نہیں رہی
پتے ہیں خشک پھر بھی شجر سے ہیں منسلک
کیا کیجیے ہوا کی عنایت نہیں رہی
دریا میں لاکھ موجیں رہیں سر بکف مگر
کچے گھروں کو اب کوئی وحشت نہیں رہی
گلیوں میں پھر سے فرش لہو بچھ گیا تمام
انساں میں آج کل کے شرافت نہیں رہی"
عابد جعفری,غم دیا ہے تو سوا حوصلۂ غم دینا,"غم دیا ہے تو سوا حوصلۂ غم دینا
یہ تو اک آگ ہے پھر کیا اسے شبنم دینا
اب بھی سوئی ہوئی راتوں کی تھکن باقی ہے
خواب دینا ہوں ضروری تو ذرا کم دینا
وقت سے ہی مجھے امید مسیحائی کی تھی
وقت ہی بھول گیا زخم کو مرہم دینا
اس نے تعبیر کے سب بھید چھپائے ہم سے
جس نے سیکھا ہے ہمیں خواب کا عالم دینا"
عابد جعفری,دھوپ کا بوجھ بھلا میں نے اٹھایا کب تھا,"دھوپ کا بوجھ بھلا میں نے اٹھایا کب تھا
میں تو تنہا تھا مری ذات کا سایا کب تھا
اتنے مانوس ہوئے غم سے کہ اب یاد نہیں
وقت نے درد کا انبار لگایا کب تھا
شام اتری مرے چہرے پہ تو سوچا میں نے
دن مری زیست کے آنگن میں سمایا کب تھا
درد بڑھتا ہے تو زخموں سے میں کرتا ہوں سوال
سنگ میں نے کسی وحشی پہ اٹھایا کب تھا
اب بھی ہے صبح مری آنکھ میں زخمی زخمی
کون کہتا ہے کہ میں شب کا ستایا کب تھا"
عابد جعفری,چاروں طرف کچھ دیواریں سی رہتی ہیں آہوں میں لگی,"چاروں طرف کچھ دیواریں سی رہتی ہیں آہوں میں لگی
میری مٹی تیرے گھر کی گہری بنیادوں میں لگی
چپ کی چادر اوڑھ تو لی ہے پاؤں چھپیں سر کھل چائے
محرومی کی دھوپ نہ جانے کب سے آوازوں میں لگی
ان سے ظلمت دشت مقدر اور سیاہ نہ ہو جائے
چھوڑ نہ دیتا چاند کرنیں تم اپنے خوابوں میں لگی
مجھ سے میرے اپنے لوگ بھی رہتے ہیں بیگانے سے
میرے نام کی کون سی تہمت ان کے انداز ہوں میں لگی
اس موسم میں ڈالی ڈالی برف کے اتنے پھول کھلے
رنگ و تپش سے محرومی کی شاخ مرے جذبوں میں لگی"
عابد جعفری,عبث ہے شاخ قد آور پہ آشیاں رکھنا,"عبث ہے شاخ قد آور پہ آشیاں رکھنا
زمیں کو راس کب آیا ہے آسماں رکھنا
سفر کرو کہ ٹھہر جاؤ اک عذاب ہے یہ
قدم کو ہجرت و منزل کے درمیاں رکھنا
کسی کا شور فغاں سن کے یاد آیا بہت
فصیل غم میں مرا درد بے زباں رکھنا
کھلی فضا میں تو شبنم بھی بار لگتی ہے
اگر ہے طرز کہن سر پہ سائباں رکھنا
یہ لوگ اپنی ہی دیوار کے نقب زن ہیں
کبھی نہ بھول کے تم گھر کا پاسباں رکھنا
ہے ناؤ موجوں کی زد میں مگر ہمیں عابدؔ
نہ آیا باد مخالف پہ بادباں رکھنا"
عابد جعفری,گھر تو لٹتا ہے مگر ہم کو مٹانے والے,"گھر تو لٹتا ہے مگر ہم کو مٹانے والے
کون سے دیس سے لائیں گے زمانے والے
دھوپ بخشی ہے تو پھر سایۂ دیوار بھی دے
لوگ سورج کو ہیں معبود بنانے والے
دل کو آمادۂ تجدید وفا کیسے کروں
رس رہے ہیں ابھی ناسور پرانے والے
یوں تو ملتے ہیں ہر اک جسم پہ بے داغ لباس
اٹھ گئے دل پہ مگر داغ اٹھانے والے
گھر میں گھر کی کوئی صورت تو نکالیں عابدؔ
آنے والے ہیں کبھی کے نہیں آنے والے"
عابد جعفری,ہم کو جاناں اس نگری میں چلنا بھی دشوار ہوا,"ہم کو جاناں اس نگری میں چلنا بھی دشوار ہوا
لوگوں کا ہر سنگ ملامت اپنے لیے دیوار ہوا
دل کے سب دکھڑے دل میں ہیں پھر بھی انہیں یہ شکوہ ہے
چاک گریباں کیوں پھرتے ہو دامن کیوں ہے تار ہوا
صبح سے ہلکی ہلکی کسک تھی میٹھا میٹھا درد سا تھا
شام کا پہلا تارا ابھرا زخم جگر بیدار ہوا
خود کو ملامت کیوں کرتے ہو اپنے آپ سے شکوہ کیا
جان کے کب دھوکا کھایا ہے انجانے میں پیار ہوا
ہم کو خرد کی راہ دکھانے والے یہ کیوں بھول گئے
اپنے لیے اس راہ جنوں میں صحرا بھی گلزار ہوا"
عابد جعفری,یہی تو ایک شکایت سفر میں رہتی ہے,"یہی تو ایک شکایت سفر میں رہتی ہے
ہوائے گرد مسلسل نظر میں رہتی ہے
جزائے کاوش تعمیر یہ ملی ہے ہمیں
صدائے تیشہ سدا ساتھ گھر میں رہتی ہے
ہنر کسی میں ہو قسمت ہے اس کی در بدری
کہ آب و تاب گہر کب گہر میں رہتی ہے
سماعتوں کا پیمبر ہی بن سکے تو سنے
وہ داستاں جو لب چشم تر میں رہتی ہے
ہر ایک صبح پہ مقتل کا ہو رہا ہے گماں
نہ جانے کون سی سرخی خبر میں رہتی ہے"
عابد جعفری,یہ کس نے عہد فراموش سے صدا دی ہے,"یہ کس نے عہد فراموش سے صدا دی ہے
ابھی چراغ جلائے ہی تھے ہوا دی ہے
یہ ورثہ ہم سے نئی نسل کو کبھی نہ ملے
زباں ہمارے بزرگوں نے بے نوا دی ہے
خراج آرزوئے موسم بہار ہے یہ
لہو لہو جو مرے پیرہن کی وادی ہے
کوئی بھی گھر سے نہ نکلے چراغ دل لے کر
امیر شہر کی یہ شہر میں منادی ہے
ملی ہے یہ مہ و انجم سے دوستی کی سزا
کہ آفتاب نے بینائی تک جلا دی ہے
کہاں سے کاٹو گے کل تم مسرتیں عابدؔ
یہ فصل اشک جو ہر آنکھ میں اگا دی ہے"
عابد جعفری,شب کی آغوش میں جاگا ہوا گھر کس کا ہے,"شب کی آغوش میں جاگا ہوا گھر کس کا ہے
اس پہ آسیب نہیں ہے تو اثر کس کا ہے
ایسا سیلاب کہ جنگل کو بہا لے جائے
ایسے سیلاب میں بے برگ شجر کس کا ہے
انگلیوں میں اتر آئے ہیں بصارت کے رموز
تیرگی میں رہے مخفی یہ ہنر کس کا ہے
بے چراغی ہی رہی اپنے گھروں کی میراث
روشنی پوچھتی پھرتی ہے کہ در کس کا ہے
وہ مسافر تو گیا چھوڑ کے یادیں اپنی
کس کو بتلاؤں کہ یہ زاد سفر کس کا ہے
تم مری راہ سے ہو کر نہیں گزرے ہو تو پھر
نقش پا یہ طرف راہ گزر کس کا ہے
پھر سے مدہوش تمنا کے ہوئے ہوش بجا
ہم پہ عابدؔ یہ کرم بار دگر کس کا ہے"
عابد جعفری,درد کی آنچ میں جلتا ہے یہ گھر کیا کیجے,"درد کی آنچ میں جلتا ہے یہ گھر کیا کیجے
خواب ہوتی ہے تمنا کی سحر کیا کیجے
ہم بھی مانوس نہیں دل کے اندھیروں سے ابھی
طائر شب بھی ہے کھولے ہوئے پر کیا کیجے
دور منزل ہے کڑی دھوپ میں کرنا ہے سفر
کٹ گئے راہ میں جتنے تھے شجر کیا کیجے
وہ گئے وقت کی مانند نہ لوٹے گا کبھی
اب لٹا کر یہ وفاؤں کے گہر کیا کیجے
بے گواہی کے بھنور میں ہے مری ذات کہ اب
آنکھ کی جھیل بھی ہوتی نہیں تر کیا کیجے
بارش سنگ تو بے وجہ نہیں ہے عابدؔ
آ گیا مجھ کو وفاؤں کا ہنر کیا کیجے"
عابد جعفری,میں اجنبی رہا سب سے مگر سبھی میں رہا,"میں اجنبی رہا سب سے مگر سبھی میں رہا
یہ حوصلہ بھی یہاں پر کسی کسی میں رہا
قبائے عظمت انساں ملی فقیروں کو
فقیہ شہر تو کیا کیا نہ سروری میں رہا
کھنچا ہے زخم عداوت سے دوستی کا لہو
جسے عزیز رکھا جاں سے دشمنی میں رہا
چراغ رکھ دئے سورج کے سامنے لا کر
مگر وہ فرق نہ جانا جو روشنی میں رہا
زبان کھلتی تو ہوتا قدم قدم مقتل
سکوت خوف کی صورت گلی گلی میں رہا"
عابد جعفری,یہی تو ایک شکایت سفر میں رہتی ہے,"یہی تو ایک شکایت سفر میں رہتی ہے
ہوائے گرد مسلسل نظر میں رہتی ہے
جزائے کاوش تعمیر یہ ملی ہے ہمیں
صدائے تیشہ سدا ساتھ گھر میں رہتی ہے
ہنر کسی میں ہو قسمت ہے اس کی در بدری
کہ آب و تاب گہر کب گہر میں رہتی ہے
سماعتوں کا پیمبر ہی بن سکے تو سنے
وہ داستاں جو لب چشم تر میں رہتی ہے
ہر ایک صبح پہ مقتل کا ہو رہا ہے گماں
نہ جانے کون سی سرخی خبر میں رہتی ہے"
عابد جعفری,وہ جو اپنے تھے وہی ہو گئے ہرجائی بھی,"وہ جو اپنے تھے وہی ہو گئے ہرجائی بھی
بات پیشانی پہ لکھی ہوئی پیش آئی بھی
دل تو پہلے ہی تھا محصور غم تنہائی
اس پہ دھرنا دئے بیٹھی ہے یہ پروائی بھی
جس طرف رخ ہو ہوا کا یہ برستی ہے وہیں
ابر کی طرح سے ہوتی ہے شناسائی بھی
دل کو رہتی بھی ہے اب محفل یاراں کی تلاش
اور طبیعت ہے کہ اس بزم میں گھبرائی بھی"
عابد جعفری,کر چکا پھول میں جب سارے جہاں کے پتھر,"کر چکا پھول میں جب سارے جہاں کے پتھر
آ پڑے سر پہ مرے جانے کہاں کے پتھر
ظرف دل میں نمی اشک حقیقت نہ رہی
اتنے بخشے ہمیں لوگوں نے گماں کے پتھر
پئے حق در پئے پیکار کوئی ملتا نہیں
بندھ گئے پاؤں سے کیا وحشت جاں کے پتھر
خاک میں مل گئے سب پھول سے لوگوں کے وجود
لگ گئے قبر پہ بس نام و نشاں کے پتھر
کو بہ کو ہو گئیں تعمیر عبادت گاہیں
جمع کرتے ہی رہے ہم تو مکاں کے پتھر
زندگی کے لیے گوہر وہی ٹھہرے عابدؔ
لوگ کہتے ہیں جنہیں فکر جواں کے پتھر"
عابد جعفری,بصارتوں کو رہ شوق میں گنوا دیکھا,"بصارتوں کو رہ شوق میں گنوا دیکھا
تجھے نہ دیکھا مگر ہاں یہ حادثہ دیکھا
وجود سونپ کے سب کچھ بچا لیا ہم نے
نہ آنکھ میں کوئی آنسو نہ سانحہ دیکھا
کتاب زیست بھی اپنی نہیں رہی کہ یہاں
ہر اک ورق پہ نیا ایک حاشیہ دیکھا
خلاف موج سمندر شناس بہہ نکلے
میں جس طرف گیا طوفان ہی اٹھا دیکھا"
عابد جعفری,کون تھا جو دست قاتل کے لئے تیار تھا,"کون تھا جو دست قاتل کے لئے تیار تھا
ایک میں ہی بزم اہل خواب میں بیدار تھا
بھر لیے ہیں تیرگی سے گھر کی دیواروں کے گھاؤ
کیا نیا سورج ہمارے واسطے آزاد تھا
خشک نہروں سے صدائے تشنگی آتی رہی
اور سمندر موج بے آواز سے سرشار تھا
آ رہے تھے موسموں کے نام پھولوں کے پیام
تم نہ تھے تو موسم گل بھی نگہ میں خار تھا
دے دیا گھر کے چراغوں کو ہوا کی گود میں
لوگ کہتے تھے کہ اک سایہ پس دیوار تھا
اب بھی یوں لگتا ہے جیسے ہر خبر ہو آج کی
اس لئے برسوں پرانا میز پر اخبار تھا"
